Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,,Total Cases
,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,Total,
DMP,20,103,218,202,7,1779,85,132,554,1197,5315,157,108,13638,115,14018,23630
CMP,2,71,70,80,0,350,7,21,92,267,1547,231,2,4260,44,4537,7044
KMP,6,9,25,19,0,248,4,6,35,50,443,25,4,1706,32,1767,2612
RMP,2,34,8,15,2,120,17,14,33,50,485,18,9,2021,189,2237,3017
BMP,1,8,16,4,0,89,7,4,32,46,388,11,1,921,4,937,1532
SMP,5,18,32,60,3,120,6,12,25,101,669,13,0,301,15,329,1380
Dhaka Range,99,132,828,131,0,3598,123,95,360,973,12787,290,43,19646,197,20176,39302
Mymensingh Range,8,16,248,107,0,1071,26,18,74,355,5897,36,4,5398,178,5616,13436
Chittagong Range,64,74,626,114,0,1889,77,112,360,786,11676,581,16,12555,190,13342,29120
Sylhet Range,31,31,303,30,2,861,19,40,103,399,4638,49,7,2246,223,2525,8982
Khulna Range,33,51,338,62,9,1960,45,26,152,420,8917,342,89,9764,813,11008,23021
Barisal Range,22,36,169,62,0,1451,20,16,161,182,5763,59,8,3441,5,3513,11395
Rajshahi Range,36,38,368,132,0,1763,43,28,79,470,7817,343,62,12237,1240,13882,24656
Rangpur Range,7,29,281,25,0,1771,30,16,103,477,8203,50,8,10262,2218,12538,23480
Railway Range,0,7,19,2,0,3,0,3,0,60,100,3,1,588,136,728,922
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,336,657,3549,1045,23,17073,509,543,2163,5833,74645,2208,362,98984,5599,107153,213529
