Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,,Total Cases
,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,Total,
DMP,66,222,264,388,11,1637,149,136,592,2240,8296,284,94,8345,99,8822,22823
CMP,10,66,88,74,18,281,27,26,112,283,1492,121,5,1976,41,2143,4620
KMP,1,18,23,14,0,199,16,9,44,76,493,17,7,437,19,480,1373
RMP,2,24,37,9,6,122,11,15,52,136,728,5,3,229,130,367,1509
BMP,8,9,20,7,0,135,5,11,40,75,600,16,0,459,49,524,1434
SMP,8,15,37,52,3,140,6,28,42,116,784,11,1,186,4,202,1433
Dhaka Range,154,150,1244,426,7,5115,156,135,634,1742,21957,315,28,10918,1039,12300,44020
Mymensingh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,129,103,664,267,17,4221,120,122,430,1134,15873,232,13,4613,531,5389,28469
Sylhet Range,56,26,236,66,17,848,26,29,152,480,6018,38,3,1751,186,1978,9932
Khulna Range,64,151,482,153,12,2564,167,46,359,761,11275,260,110,3372,1207,4949,20983
Barisal Range,34,61,170,232,1,1168,55,13,186,277,6879,44,11,444,56,555,9631
Rajshahi Range,38,55,464,132,0,2281,54,47,155,554,11932,131,12,3120,2124,5387,21099
Rangpur Range,20,53,354,85,2,2235,53,41,129,607,9586,32,2,1083,959,2076,15241
Railway Range,3,11,31,2,0,1,5,1,0,117,199,5,0,331,134,470,840
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,593,964,4114,1907,94,20947,850,659,2927,8598,96112,1511,289,37264,6578,45642,183407
