Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,,Total Cases
,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,Total,
DMP,47,265,262,332,7,1611,176,104,650,2130,6219,225,104,7063,222,7614,19417
CMP,5,63,120,52,17,387,53,31,97,310,1457,121,10,2488,56,2675,5267
KMP,2,29,22,17,0,206,11,3,44,101,522,34,2,599,10,645,1602
RMP,0,28,22,20,6,169,21,14,65,106,569,18,27,395,126,566,1586
BMP,7,16,15,3,0,94,3,9,35,48,375,16,1,759,5,781,1386
SMP,21,29,44,32,13,165,4,26,34,142,728,12,4,311,18,345,1583
Dhaka Range,184,221,1395,456,1,4907,203,127,619,1582,21716,331,64,12175,555,13125,44536
Mymensingh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,138,169,792,193,9,4240,159,228,435,939,15503,490,53,6817,285,7645,30450
Sylhet Range,54,30,277,54,11,745,27,41,93,354,5468,38,6,2026,202,2272,9426
Khulna Range,80,125,520,277,15,2351,77,53,310,585,10247,381,152,2935,1766,5234,19874
Barisal Range,36,37,200,51,0,1478,60,8,163,225,6892,36,19,813,31,899,10049
Rajshahi Range,55,73,463,138,0,2359,81,26,137,500,10353,249,64,3969,2070,6352,20537
Rangpur Range,21,62,349,88,0,2573,45,32,126,549,10181,62,11,1756,1332,3161,17187
Railway Range,1,8,33,3,0,6,0,0,1,89,170,10,3,395,110,518,829
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,651,1155,4514,1716,79,21291,920,702,2809,7660,90400,2023,520,42501,6788,51832,183729
