Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,,Total Cases
,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,Total,
DMP,1,10,19,10,0,118,9,6,49,127,411,6,3,1370,14,1393,2153
CMP,0,3,9,5,0,22,0,5,6,15,125,38,0,449,1,488,678
KMP,1,0,4,1,0,8,0,0,6,4,16,2,0,272,3,277,317
RMP,0,4,1,1,1,11,0,0,4,6,52,3,0,283,35,321,401
BMP,0,0,0,0,0,14,1,0,4,6,49,1,0,91,0,92,166
SMP,0,2,5,3,0,15,0,13,2,2,55,0,0,44,2,46,143
Dhaka Range,7,11,75,10,0,216,12,13,28,70,889,18,3,1731,6,1758,3089
Mymensingh Range,1,1,23,1,0,87,2,6,5,24,405,5,2,435,7,449,1004
Chittagong Range,4,11,74,4,0,147,6,10,25,51,891,54,1,1108,10,1173,2396
Sylhet Range,4,5,20,4,0,67,1,8,7,33,412,1,3,139,21,164,725
Khulna Range,4,4,37,0,0,99,2,2,7,36,544,13,3,814,20,850,1585
Barisal Range,2,3,16,2,0,86,3,2,16,23,378,1,0,363,0,364,895
Rajshahi Range,5,8,29,6,0,99,8,2,5,40,469,25,15,1166,134,1340,2011
Rangpur Range,1,2,33,0,0,116,0,0,8,38,625,4,0,551,94,649,1472
Railway Range,0,1,2,0,0,0,0,0,0,5,9,0,0,55,12,67,84
GMP,2,3,3,1,0,22,1,2,2,8,65,3,0,130,2,135,244
RPMP,0,0,1,0,0,12,1,0,0,6,33,0,0,68,0,68,121
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,32,68,351,48,1,1139,46,69,174,494,5428,174,30,9069,361,9634,17484
