Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,,Total Cases
,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,Total,
DMP,23,131,165,217,1,1651,103,72,547,1516,5407,244,88,9627,108,10067,19900
CMP,6,58,90,63,11,344,30,16,88,196,1634,160,6,3457,31,3654,6190
KMP,6,11,36,19,0,158,10,4,45,78,514,17,7,801,4,829,1710
RMP,5,18,15,5,5,108,11,14,40,66,357,13,12,1114,173,1312,1956
BMP,6,7,16,8,0,105,2,4,41,45,444,15,0,655,1,671,1349
SMP,20,26,38,15,5,235,10,13,27,96,724,17,0,164,8,189,1398
Dhaka Range,118,127,881,162,1,3703,139,99,347,1114,13859,356,110,11366,234,12066,32616
Mymensingh Range,4,15,221,97,0,825,16,29,57,256,4893,36,8,3099,118,3261,9674
Chittagong Range,71,105,662,138,10,2612,106,99,367,821,12461,561,35,8998,161,9755,27207
Sylhet Range,20,20,236,40,12,1116,18,46,69,310,5051,45,8,1723,237,2013,8951
Khulna Range,47,80,370,88,7,1892,65,54,220,446,9315,374,109,4879,649,6011,18595
Barisal Range,29,36,166,52,1,1538,38,22,155,187,6130,58,12,1679,12,1761,10115
Rajshahi Range,30,49,383,115,0,1974,60,17,75,477,8304,345,82,9703,1555,11685,23169
Rangpur Range,22,29,292,32,0,2025,27,29,133,453,8523,45,10,4425,1278,5758,17323
Railway Range,1,10,20,1,0,160,4,3,2,49,131,5,0,518,111,634,1015
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,408,722,3591,1052,53,18446,639,521,2213,6110,77747,2291,487,62208,4680,69666,181168
