Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,,Total Cases
,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,Total,
DMP,45,205,239,226,26,1550,146,118,642,1711,5795,263,195,8365,201,9024,19727
CMP,5,61,105,67,25,357,51,30,128,262,1497,101,40,2090,43,2274,4862
KMP,9,15,30,19,0,146,7,3,49,95,574,21,13,659,2,695,1642
RMP,0,19,20,12,4,131,8,18,39,66,463,23,30,733,179,965,1745
BMP,2,11,15,5,0,110,4,8,33,50,371,17,0,557,2,576,1185
SMP,19,14,37,22,4,139,10,8,25,89,819,11,5,183,8,207,1393
Dhaka Range,151,164,1239,563,0,5042,204,118,472,1565,20501,365,68,12405,520,13358,43377
Mymensingh Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong Range,107,133,688,151,28,3886,98,163,406,906,13618,498,59,8012,224,8793,28977
Sylhet Range,26,26,252,70,3,943,33,43,76,326,5442,54,11,1575,211,1851,9091
Khulna Range,41,112,439,151,2,2478,79,41,250,513,8972,330,119,3787,1217,5453,18531
Barisal Range,31,47,175,58,1,1497,53,20,156,266,6767,26,22,1019,27,1094,10165
Rajshahi Range,37,66,446,159,0,2339,70,40,72,441,9259,313,144,5797,2072,8326,21255
Rangpur Range,17,50,328,44,0,2587,34,23,146,460,9898,53,10,1988,1355,3406,16993
Railway Range,2,10,24,2,0,5,8,1,1,71,141,4,9,496,118,627,892
GMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,492,933,4037,1549,93,21210,805,634,2495,6821,84117,2079,725,47666,6179,56649,179835
